카테고리,제목,가격,판매상태,판매자등급,escrow,판매중,작성자,작성일자,URL,article_id
스포츠/레저_축구용품/의류,토탈90 레이저 엘리트 265,"130,000",SALE,본인인증 회원,False,True,보라꺼비,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594297,1107594297
스포츠/레저_축구용품/의류,전북 현대 친필 사인볼,"130,000",SALE,인증+안전거래 회원,False,True,해땅물,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594276,1107594276
스포츠/레저_축구용품/의류,18-20 국대 코치 하프집업 90,"100,000",SALE,인증+안전거래 회원,False,True,해땅물,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594248,1107594248
스포츠/레저_축구용품/의류,(거의새거)코파센스 챔스팩 축구화 판매합니다,"39,900",SOLD_OUT,중고나라 회원,False,False,gotnvyaus1,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107594112,1107594112
스포츠/레저_축구용품/의류,아디다스 F50 리그 메시 TF (240mm),"40,000",SOLD_OUT,중고나라 회원,False,False,1004****,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593695,1107593695
스포츠/레저_축구용품/의류,(국내배송) 24-25시즌 축구 클럽 유니폼 레플리카 져지 판매 (손흥민 라민야말 음바페 벨링엄 메시 이강인 김민재 황희찬 살라 브페 파머 외데고르 레알마드리드 바르셀로나 PSG 뮌헨 맨유 리버풀 아스날 토트넘 등),"2,222",SALE,중고나라 회원,False,True,햼톨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593607,1107593607
스포츠/레저_축구용품/의류,붉은악마 머플러 5호,"50,000",SALE,인증+안전거래 회원,False,True,해땅물,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593521,1107593521
스포츠/레저_축구용품/의류,[M] 아디다스 재팬 클리마쿨 트레이닝 반팔 기능성 탑,"17,000",SALE,본인인증 회원,False,True,아델보덴상점,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107593388,1107593388
스포츠/레저_축구용품/의류,레알 마드리드 아노락,"30,000",SALE,중고나라 회원,False,True,refreshers,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592900,1107592900
스포츠/레저_축구용품/의류,(국내배송) 2025 축구 국가대표 유니폼 레플리카 져지 판매 (국대 한국 잉글랜드 프랑스 독일 브라질 아르헨티나 손흥민 이강인 황희찬 김민재 벨링엄 음바페 메시 네이마르 하피냐 포든 케인 유로 코파아메리카 등),"2,222",SALE,중고나라 회원,False,True,햼톨,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592389,1107592389
스포츠/레저_축구용품/의류,1819 나이키 토트넘 핫스퍼 챔스 조날 에어로쉴드 쉴드탑 트레이닝,"459,000",SALE,본인인증 회원,False,True,Ares9354,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592198,1107592198
스포츠/레저_축구용품/의류,1718 나이키 첼시 챔스 플렉스 팬츠 트레이닝,"99,000",SALE,본인인증 회원,False,True,Ares9354,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592176,1107592176
스포츠/레저_축구용품/의류,2223 나이키 첼시 챔스 ADV 베이퍼니트 드릴탑 트레이닝,"259,000",SALE,본인인증 회원,False,True,Ares9354,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592161,1107592161
스포츠/레저_축구용품/의류,2223 나이키 첼시 스트라이크 드릴탑 트레이닝,"119,000",SALE,본인인증 회원,False,True,Ares9354,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107592146,1107592146
스포츠/레저_축구용품/의류,나이키 팬텀 풋살화 285,"50,000",SOLD_OUT,본인인증 회원,False,False,땅콩대가리,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591992,1107591992
스포츠/레저_축구용품/의류,나이키 정품 축구화 팝니다(245mm),"100,000",SALE,중고나라 회원,False,True,나리어스,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591609,1107591609
스포츠/레저_축구용품/의류,"[90-95사이즈] 수원삼성 레트로, 리버스블루, 더비, 올드 유니폼","2,000",SOLD_OUT,중고나라 회원,False,False,국가대표21,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591258,1107591258
스포츠/레저_축구용품/의류,아디다스 축구화 풋살화 220 반값택포,"20,000",ESCROW,인증+안전거래 회원,True,True,아둘아2,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107591025,1107591025
스포츠/레저_축구용품/의류,[한정수량타임세일]나이키 팬텀GX2 엘리트 MAD VOLTAGE팩 FG,"159,000",ESCROW,인증+안전거래 회원,True,True,나이키아디다스축구화,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590780,1107590780
스포츠/레저_축구용품/의류,[한정수량타임세일]티엠포 레전드10 엘리트 MAD VOLTAGE팩 FG 230 235 240 245 250 255 260 265 270,"149,000",ESCROW,인증+안전거래 회원,True,True,나이키아디다스축구화,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590759,1107590759
스포츠/레저_축구용품/의류,[타임세일] F50 프로 LL TF Celestial Victory팩 255 260 265 270 275 280 285 290 295 300,"100,000",ESCROW,인증+안전거래 회원,True,True,나이키아디다스축구화,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590744,1107590744
스포츠/레저_축구용품/의류,"나이키 대한민국 국가대표 유니폼 주니어 12-13세용 나이키 키즈
레플리카 정품 (2-5학년)","30,000",SALE,중고나라 회원,False,True,ddjiii,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590603,1107590603
스포츠/레저_축구용품/의류,미즈노 모렐리아 살라 프로 TF 축구화 280,"63,000",ESCROW,중고나라 회원,True,True,samsung lions v9,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590377,1107590377
스포츠/레저_축구용품/의류,아디다스 프레데터 앱솔리온 리셀존 LZ HG 285,"120,000",SALE,중고나라 회원,False,True,XabiAlonso14,2025-06-04,https://cafe.naver.com/ArticleRead.nhn?clubid=10050146&articleid=1107590217,1107590217
